,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
149,118,3aed15e2-682d-4db9-a383-17f0ca16e64b,2022-03-12T01:50:48.000Z,2022-03-12T02:04:46.000Z,OH-11  Exit 78 / US-6,OH-11,Southbound,14,0.067,0.833,8.1,41.60464964,-80.71357999,41.4875198,-80.71282997,Yes,
150,197,cdde3f87-3e84-49f3-9bf0-e41443c42d21,2022-03-12T04:49:26.000Z,2022-03-12T05:04:30.000Z,OH-93 / Stand Pipe Rd,OH-93 / Harmon Rd,Southbound,15,0,0,6.35,39.00380913,-82.59679904,38.92188504,-82.56574538,Yes,
151,227,481a6ad9-9d3b-4efb-8268-c940e72549c1,2022-03-12T04:39:46.000Z,2022-03-12T05:33:43.000Z,I-70  Exit 198 / CR-114 Oxford Rd,I-70  Exit 204 / US-40 Mcmillan Rd / US-40 National Rd,Eastbound,54,0,0.764,6.25,40.05599,-81.23351,40.05752262,-81.11837047,Yes,
152,217,86dc6b07-afe4-4d65-8d6d-463d0ce35266,2022-03-12T05:05:24.000Z,2022-03-12T05:26:28.000Z,OH-325 College St / OH-588 / OH-325,OH-141 / OH-325,Southbound,21,0.24,0.32,6.78,38.88695,-82.38227,38.79628694,-82.39773749,Yes,
153,250,71c3258a-3657-4df3-9a57-0283362d396c,2022-03-12T04:20:22.000Z,2022-03-12T04:48:19.000Z,US-22 / CR-5 Buckeye Valley Rd,US-22 Main St,Westbound,28,0.032,0.256,4.03,39.8298214,-82.24083878,39.80372764,-82.30548065,Yes,
154,369,23a6f207-e941-4109-89dd-0f9fdc5adeee,2022-03-12T04:57:27.000Z,2022-03-12T04:58:21.000Z,OH-13 / Township Road 37,OH-13 / CR-30 Zion Rd / CR-73 Blackbird Ln,Northbound,1,0.158,0.147,6.15,39.83255514,-82.38753032,39.91429776,-82.40901869,No,54
155,126,204c39d3-ea9a-49d3-9f90-f171b0c44342,2022-03-12T02:22:09.000Z,2022-03-12T02:31:35.000Z,US-322 Mayfield Rd,US-322 Mayfield Rd / Kile Rd,Eastbound,9,0.093,0.857,8.14,41.52617006,-81.25920988,41.5340598,-81.10464011,Yes,
156,148,649b8769-5318-4429-aa29-06f1cd24bce5,2022-03-12T02:14:00.000Z,2022-03-12T02:36:21.000Z,US-6 Chardon Rd / Shasta Dr / Fox Ln,US-6 Chardon Rd,Westbound,22,0.189,0,5.2,41.58367025,-81.25500076,41.58387,-81.35032,Yes,
157,301,a0a6ae6a-5eb3-47e7-8447-bb577a084a1c,2022-03-11T22:30:59.000Z,2022-03-11T23:36:00.000Z,"OH-59  Exits 2,3A / Gorge Blvd / Glenwood Ave",I-77  Exit 123B / OH-764 / Palmetto Ave,Southbound,65,0.654,0.268,2.78,41.0870254,-81.50206811,41.04738167,-81.50558606,Yes,
158,300,5fcab6e2-8403-4de5-9bee-c1a9ff41e4b8,2022-03-12T04:54:29.000Z,2022-03-12T05:31:24.000Z,OH-7 / Lower Garfield Rd,OH-7 / CR-96 Clay Chapel Rd,Southbound,37,0,0.165,7.17,38.79573,-82.2192,38.70148241,-82.19079575,Yes,
159,171,dab2be46-4e66-4c75-bdb0-a4119b49e612,2022-03-12T04:40:21.000Z,2022-03-12T05:06:21.000Z,OH-93,OH-93 / Township Road 41,Northbound,26,1.03,0,6.34,38.61061,-82.65002,38.68033012,-82.65989725,Yes,
160,142,75a45c23-d44e-44cc-87a4-1fc2cff8add3,2022-03-12T05:05:24.000Z,2022-03-12T05:27:28.000Z,OH-28 / Northlook Dr,OH-28 / Acton Rd,Westbound,22,0.887,0.124,6.83,39.34946379,-83.0793487,39.34792001,-83.20237039,Yes,
161,293,2f28baf7-e6ee-48de-be82-93ec58fa3178,2022-03-11T19:52:38.000Z,2022-03-11T20:22:35.000Z,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St","I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,30,0.473,0.36,3.63,39.97998003,-82.9638198,40.00673973,-82.91372598,Yes,
162,46,b2725fac-86f8-4ee4-9234-5d053eba5750,2022-03-12T04:43:00.000Z,2022-03-12T04:53:46.000Z,I-70,I-70,Westbound,11,1.071,0.466,4.87,39.94582972,-82.07531603,39.94965351,-82.16482285,Yes,
