,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
2876,115,5f4ede77-3f3f-4867-a087-da0c23f43823,2022-01-17T10:40:58.000Z,2022-01-17T10:47:01.000Z,I-271  Exit 32 / Cedar Rd / Brainard Rd,I-480  Exit 26A / I-271  Exit 26 / Rockside Rd,Southbound,6,0.554,0.385,5.34,41.50177335,-81.48044146,41.42851009,-81.50707994,No,363
2877,216,21885442-3e69-4de8-a807-cc441d04db53,2022-01-17T12:36:38.000Z,2022-01-17T12:40:34.000Z,US-33  Exit 182 / John Lloyd Evans Dr / Simonton Rd,US-33,Westbound,4,0.06,0.166,10.45,39.47225996,-82.25078053,39.53496991,-82.41576101,No,236
2878,413,32279eb3-d783-4471-a80d-c6041a0d0294,2022-01-17T09:12:28.000Z,2022-01-17T09:20:25.000Z,OH-2,OH-2,Eastbound,8,1.115,0.155,5.93,41.40679381,-82.73776929,41.4039614,-82.62554186,Yes,
2879,1546,0f772bee-c90c-4512-a92f-12d1900cb490,2022-01-17T11:12:55.000Z,2022-01-17T11:15:05.000Z,OH-11,OH-531 6th St / OH-11,Northbound,2,0.473,0.063,5.24,41.81812282,-80.76358087,41.88642258,-80.78003106,No,130
2880,3761,ac6e8e2e-92d3-41d6-9e26-72223bd195c9,2022-01-17T07:19:48.000Z,2022-01-17T07:30:59.000Z,OH-2 / Lost Nation Rd / St Clair St,"I-90  Exits 184,184B / Lakeland Blvd",Westbound,11,0.696,0.084,5.88,41.65209,-81.41121,41.60188919,-81.50224314,Yes,
2881,201,5e9d8440-6dfa-4a83-a238-bdaf59cabeb3,2022-01-17T10:14:54.000Z,2022-01-17T10:31:59.000Z,OH-124 / US-33 / OH-7,US-33 / CR-16 Pleasanton Rd,Northbound,17,0.167,0.845,10.99,39.06131,-82.01774,39.21152065,-82.06065163,Yes,
2882,2488,eb73e132-2f16-4331-a3e6-4f1e8dfe455a,2022-01-17T06:45:51.000Z,2022-01-17T07:15:56.000Z,US-6 / OH-534,OH-307 / OH-534,Northbound,30,0,1.15,10.37,41.60609,-80.95318,41.75259522,-80.94095865,Yes,
2883,522,5ca61101-b0da-4843-993b-831e0177ceda,2022-01-17T11:11:03.000Z,2022-01-17T11:30:02.000Z,I-71  Exit 209A-B / I-76  Exit 1A / US-224,I-76,Eastbound,19,0,0.543,9.46,41.03051,-81.88815,41.04693082,-81.71457591,Yes,
2884,590,1e52bf9e-2aac-4b9a-ab0e-be25f220ead8,2022-01-17T13:25:08.000Z,2022-01-17T13:38:08.000Z,I-76,I-76  Exit 26 / OH-526 Mogadore Rd / OH-18 Market St,Westbound,13,0.309,0.457,9.82,41.11101686,-81.27444683,41.06449,-81.44091,Yes,
2885,70,9667b146-a0ec-44ac-bd4a-a1ec5d8c8cd8,2022-01-17T04:33:55.000Z,2022-01-17T04:37:02.000Z,I-80,I-80,Eastbound,3,0.098,0.144,9.42,41.34359028,-82.34327654,41.38740036,-82.17623862,Yes,
2886,75,a7a9b34d-6ab0-4a21-9115-5dfe75296ee2,2022-01-17T06:26:58.000Z,2022-01-17T06:43:53.000Z,"I-480  Exits 10,11 / I-71  Exit 238 / Berea Fwy Exit 238",I-71,Southbound,17,0.634,0,5.37,41.41308,-81.81794,41.33712697,-81.81720446,No,1015
2887,239,f7c8f06b-ccaf-4fc6-ba95-b0f0921a89ca,2022-01-17T10:11:52.000Z,2022-01-17T10:22:55.000Z,I-70,I-70,Eastbound,11,0.899,0.758,9.85,40.02676682,-81.46671511,40.05635326,-81.28927947,No,663
2888,952,412a37f3-9aae-471a-af2b-0fdac2e4b4d7,2022-01-17T14:16:33.000Z,2022-01-17T14:49:32.000Z,OH-586 Pleasant Valley Rd / CR-271 Branch Rd,OH-586 Martinsburg Rd / Purity Rd,Northbound,33,0,0.65,12.3,40.13418,-82.19911,40.25623045,-82.33743147,Yes,
2889,2928,90db1ef0-5900-4936-8057-212561793373,2022-01-17T13:33:10.000Z,2022-01-17T14:11:16.000Z,OH-146 Newark Rd / Dillon School Dr,OH-146 / CR-408 Pleasant Valley Rd,Westbound,38,0.191,1.471,10.79,39.97283203,-82.0538508,40.07398002,-82.19196013,Yes,
