BottleneckSummaryIndex,Id,StartDateUTC,EndDateUTC,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDateET,EndDateET,StartHourET,StartMinuteET,EndHourET,EndMinuteET,TotalImpactFactor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3,4f0dae04-84ef-457d-9435-7a4ddae5941a,2024-02-15 12:41:27,2024-02-15 13:06:34,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,25,1.079,0.417,3.89,39.22101405694846,-84.27288945481524,39.25396921913904,-84.32769474228978,2024-02-15 07:41:27-05:00,2024-02-15 08:06:34-05:00,7,41,8,6,97.25,0,0.0,0.0,0,0,0.0,0.0,73.91,23.34,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,2f6a4cde-9026-408f-9894-926987fcf355,2024-02-07 12:45:21,2024-02-07 13:03:27,I-275  Exit 54 / Wards Corner Rd,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,18,0.256,0.626,3.62,39.22522414764439,-84.27849399051485,39.25610349261484,-84.33081465681978,2024-02-07 07:45:21-05:00,2024-02-07 08:03:27-05:00,7,45,8,3,65.16,0,0.0,0.0,0,0,0.0,0.0,54.3,10.86,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,ceff0e13-2ae7-470e-bc9a-b5492ce64344,2024-02-13 12:50:29,2024-02-13 12:56:39,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,6,0.154,0.95,4.26,39.20909409346813,-84.26371382122977,39.25193978173259,-84.31601610958977,2024-02-13 07:50:29-05:00,2024-02-13 07:56:39-05:00,7,50,7,56,25.56,0,0.0,0.0,0,0,0.0,0.0,25.56,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,a1120d5e-8b2c-43f9-8595-f480cd690627,2024-02-21 12:39:29,2024-02-21 13:03:33,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,24,0.0,0.95,4.41,39.2074634790692,-84.2631886368097,39.25193978173259,-84.31601610958977,2024-02-21 07:39:29-05:00,2024-02-21 08:03:33-05:00,7,39,8,3,105.84,0,0.0,0.0,0,0,0.0,0.0,92.61,13.23,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,a0b93e70-15bc-48da-be60-41bdb52a3e4d,2024-02-26 12:26:16,2024-02-26 13:09:31,I-275  Exit 57 / OH-28,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,43,0.236,0.95,5.55,39.19109,-84.26246,39.25193978173259,-84.31601610958977,2024-02-26 07:26:16-05:00,2024-02-26 08:09:31-05:00,7,26,8,9,238.65,0,0.0,0.0,0,0,0.0,0.0,188.7,49.95,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,cd2d2aa6-3a4d-4d2a-bb82-f94a61c76b15,2024-01-24 13:25:05,2024-01-24 13:31:48,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,7,0.423,0.522,7.65,39.17081483011286,-84.26780007588505,39.25487302614496,-84.3291707623225,2024-01-24 08:25:05-05:00,2024-01-24 08:31:48-05:00,8,25,8,31,53.550000000000004,0,0.0,0.0,0,0,0.0,0.0,0.0,53.550000000000004,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,4b2eac6d-6f92-4dcc-b01b-97950378c7b8,2024-02-27 12:39:16,2024-02-27 13:11:35,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,32,0.67,0.139,5.15,39.20079067739884,-84.26270642718896,39.25274046242908,-84.32335891825763,2024-02-27 07:39:16-05:00,2024-02-27 08:11:35-05:00,7,39,8,11,164.8,0,0.0,0.0,0,0,0.0,0.0,108.15,56.650000000000006,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,6c6e8549-78e8-4db3-9906-9507dc827122,2024-02-08 23:00:29,2024-02-08 23:07:17,I-275  Exit 52 / Loveland Madeira Rd,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,7,0.142,0.278,1.55,39.243526198437536,-84.30157865438885,39.25316324675046,-84.32565985209322,2024-02-08 18:00:29-05:00,2024-02-08 18:07:17-05:00,18,0,18,7,10.85,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10.85,0,0,0,0,0
3,32521aaa-62ba-491c-8106-a13e78d93721,2024-01-31 12:50:37,2024-01-31 13:03:36,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,13,0.435,0.765,3.04,39.231919868663454,-84.2893190593377,39.25650128087588,-84.33134805418511,2024-01-31 07:50:37-05:00,2024-01-31 08:03:36-05:00,7,50,8,3,39.52,0,0.0,0.0,0,0,0.0,0.0,30.400000000000006,9.120000000000001,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,d7f14039-62ad-4a00-9c7a-ee5d60080db4,2024-01-10 13:11:46,2024-01-10 13:52:40,I-275  Exit 57 / OH-28,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,41,0.198,0.803,6.91,39.18454803616102,-84.26405223854782,39.25765774012344,-84.33290380911303,2024-01-10 08:11:46-05:00,2024-01-10 08:52:40-05:00,8,11,8,52,283.31,0,0.0,0.0,0,0,0.0,0.0,0.0,283.31,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,0bd26dd7-ba2c-44fc-9f82-ad2d8aa49793,2024-01-08 12:41:49,2024-01-08 12:56:43,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,15,0.286,0.765,3.19,39.23096048953883,-84.28777079079347,39.25650128087588,-84.33134805418511,2024-01-08 07:41:49-05:00,2024-01-08 07:56:43-05:00,7,41,7,56,47.85,0,0.0,0.0,0,0,0.0,0.0,47.85,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
